PMID,Title,Journal,Year,Cited_By_Count
41264124,Anti-tumor effects of GPC3 CAR-iNKT cells in murine models of hepatocellular carcinoma.,Mol Biol Rep,2025,2
41223134,TACE Combined with Hepatic Arterial Infusion of Nivolumab for Inhibiting Tumor Angiogenesis in Hepat,Oncol Res Treat,2025,0
38182693,Carnosic acid nanocluster-based framework combined with PD-1 inhibitors impeded tumorigenesis and en,Funct Integr Genomics,2024,0
37152014,Prognostic influence of PD-1/PD-L1 suppressors in combination with chemotherapeutic agents for non-s,Front Oncol,2023,3
36949364,Profiling of Circulating Tumor Cells for Screening of Selective Inhibitors of Tumor-Initiating Stem-,Adv Sci (Weinh),2023,9
36118947,Analysis of the Relationship between Scleritis and  T  Cell Activation in Patients with Hepatocellul,Contrast Media Mol Imaging,2022,1
36110574,Clinical Study of Anti-PD-1 Immunotherapy Combined with Gemcitabine Chemotherapy in Multiline Treatm,Comput Math Methods Med,2022,2
36017155,Prognostic and Immunological Significance of FUNDC1 in Hepatocellular Carcinoma: A Study on TCGA Min,Comput Math Methods Med,2022,3
35774297,Prediction of Prognosis and Molecular Mechanism of Ferroptosis in Hepatocellular Carcinoma Based on ,Comput Math Methods Med,2022,9
35686033,G Protein Subunit Gamma 5 Is a Prognostic Biomarker and Correlated with Immune Infiltrates in Hepato,Dis Markers,2022,5
35528242,Clinical Efficacy of Interventional Chemotherapy Embolization Combined with Monopolar Radiofrequency,J Oncol,2022,2
35224096,Current Status of Malignant Tumors after Organ Transplantation.,Biomed Res Int,2022,14
35126934,Immunomodulatory Effect of  Lycium barbarum  Polysaccharides against Liver Fibrosis Based on the Int,J Healthc Eng,2022,13
35126665,Clinical Value of PPM1G Gene in Survival Prognosis and Immune Infiltration of Hepatocellular Carcino,Appl Bionics Biomech,2022,4
35035517,Prediction of Hepatocellular Carcinoma Prognosis and Immune Cell Infiltration Using Gene Signature A,Comput Math Methods Med,2022,3
34745496,Immunogenomic Landscape Analysis of Prognostic Immune-Related Genes in Hepatocellular Carcinoma.,J Healthc Eng,2021,5
34729919,Repression of CRNDE enhances the anti-tumour activity of CD8 + T cells against oral squamous cell ca,J Cell Mol Med,2021,16
33842360,The Collective Effect of MIP-3α and FL Promotes Dendritic Cell Function Within the Immune Microenvir,Front Oncol,2021,0
33816255,Overexpressed Tumor Suppressor Exosomal miR-15a-5p in Cancer Cells Inhibits PD1 Expression in CD8+T ,Front Oncol,2021,24
33259032,Inter- and intraobserver agreement of the quantitative assessment of [ 99m Tc]-labelled anti-program,EJNMMI Res,2020,6
33241036,"Effectiveness and safety of toripalimab, camrelizumab, and sintilimab in a real-world cohort of hepa",Ann Transl Med,2020,36
32925716,Characterization of gut microbiota in patients with primary hepatocellular carcinoma received immune,Medicine (Baltimore),2020,51
32842855,Upregulation of oxidative stress-responsive 1(OXSR1) predicts poor prognosis and promotes hepatocell,Bioengineered,2020,10
32063859,Berberine Maintains the Neutrophil N1 Phenotype to Reverse Cancer Cell Resistance to Doxorubicin.,Front Pharmacol,2019,34
31248458,Response to targeted therapy or chemotherapy following immunotherapy in patients with gastrointestin,J Immunother Cancer,2019,11
30982498,High Blood miR-802 Is Associated With Poor Prognosis in HCC Patients by Regulating DNA Damage Respon,Oncol Res,2019,11
30464054,Cancer immunotherapy: challenges and clinical applications.,J Med Genet,2019,29
30459526,IL-2 augments the sorafenib-induced apoptosis in liver cancer by promoting mitochondrial fission and,Cancer Cell Int,2018,15
29970486,Applications and advances of CRISPR-Cas9 in cancer immunotherapy.,J Med Genet,2019,43
29740437,Targeting and Therapy of Glioblastoma in a Mouse Model Using Exosomes Derived From Natural Killer Ce,Front Immunol,2018,72
29666149,Genetic and phenotypic difference in CD8 +  T cell exhaustion between chronic hepatitis B infection ,J Med Genet,2019,33
29540185,Linc00210 drives Wnt/β-catenin signaling activation and liver tumor progression through CTNNBIP1-dep,Mol Cancer,2018,94
29144570,LncAPC drives Wnt/β-catenin activation and liver TIC self-renewal through EZH2 mediated APC transcri,Mol Carcinog,2018,21
28839202,Norcantharidin combined with Coix seed oil synergistically induces apoptosis and inhibits hepatocell,Sci Rep,2017,30
27074818,Efficacy and Safety of a Steroid-Free Immunosuppressive Regimen after Liver Transplantation for Hepa,Gut Liver,2016,15
25893197,The immune system in hepatocellular carcinoma and potential new immunotherapeutic strategies.,Biomed Res Int,2015,19
25816221,Comprehensive comparison of three different immunosuppressive regimens for liver transplant patients,PLoS One,2015,6
25089265,Hepatocellular carcinoma: novel molecular targets in carcinogenesis for future therapies.,Biomed Res Int,2014,50
24023916,Depletion of CD4+ CD25+ regulatory T cells promotes CCL21-mediated antitumor immunity.,PLoS One,2013,24
23940730,Comparison of steroid-free immunosuppression and standard immunosuppression for liver transplant pat,PLoS One,2013,12
11877767,High-dose myeloablative radioimmunotherapy of mantle cell non-Hodgkin lymphoma with the iodine-131-l,Cancer,2002,N/A
