Parent_PMID,Cited_PMID,Citation_preview,Gold_Standard_Label,Confidence,Annotation_Source
40892447,27402624,"Goette  A, Kalman  JM, Aguinaga  L, Akar  J, Cabrera  JA, Chen  SA  et al.  EHRA",RETRACTED,0.88,deepseek
40923939,,"Imoto AM, Peccin MS, Trevisani VFM. Quadriceps strengthening exercises are effec",CLEAN,1.00,user_manual
41286158,35122060,"Parikh AR, et al. Radiation therapy enhances immunotherapy response in microsate",RETRACTED,0.88,deepseek
40960690,31982990,"Li P, Wang X, Xu C, Liu C, Zheng C, Fulham MJ, et al. 18F-FDG PET/CT radiomic pr",CLEAN,0.85,deepseek
POSITIVE_CONTROL,38477639,Effects of high tibial osteotomy compared with unicondylar knee arthroplasty on ,RETRACTED,0.99,rw_db
40932611,28271869,"Seymour L, Bogaerts J, Perrone A, Ford R, Schwartz LH, Mandrekar S, et al. iRECI",CLEAN,0.85,deepseek
40033805,22783403,"Wu H, Li P, Shao N, Ma J, Ji M, Sun X, et al. (2012). Aberrant expression of Tre",RETRACTED,0.88,deepseek
40356837,32458316,"Ueyama H, Miyashita H, Takagi H, Cruz C, Burger A, Briasoulis A, et al. Network ",RETRACTED,0.88,deepseek
40960690,,"Hachache R, Yahyaouy A, Riffi J, Tairi H, Abibou S, Adoui ME, et al. Advancing p",CLEAN,1.00,user_manual
41085225,,"Gnaneswaran S, Deans R, Cohn RJ. Reproductive late effects in female survivors o",CLEAN,1.00,user_manual
41146130,32245577,"Alyahya A, Bin Ahmed A, Nusair Y, Ababtain R, Alhussain A, Alshafei A. Mandibula",RETRACTED,0.88,deepseek
40033805,26431888,"Wang J, Tao Q, Wang H, Wang Z, Wu F, Pan Y, et al. (2015b). Elevated IL-35 in bo",RETRACTED,0.88,deepseek
40892447,31954955,"Nakatani  Y, Sakamoto  T, Yamaguchi  Y, Tsujino  Y, Kataoka  N, Kinugawa  K. P-w",RETRACTED,0.88,deepseek
40038641,29358871,"Hussan H, Clinton SK, Roberts K, Bailey MT. Fusobacterium’s link to colorectal n",RETRACTED,0.88,deepseek
40033805,25572297,"de Lourdes Perim A, Amarante MK, Guembarovski RL, de Oliveira CEC, Watanabe MAE ",RETRACTED,0.88,deepseek
41174505,29853864,"Li X, Liu S, Yan J, et al. The characteristics, prognosis, and risk factors of l",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,23463325,MTHFR C677T polymorphism was an ethnicity-dependent risk factor for cervical can,RETRACTED,0.99,rw_db
40035891,27412257,Cohen SR et al (2017) Measuring the quality of life of people at the end of life,RETRACTED,0.88,deepseek
POSITIVE_CONTROL,30732146,Comparison of clinical outcomes between intravascular optical coherence tomograp,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,36033563,Clinical Efficacy and Safety Analysis of PD-1/PD-L1 Inhibitor vs. Chemotherapy i,RETRACTED,0.99,rw_db
40033805,35115489,"Geron I, Savino AM, Fishman H, Tal N, Brown J, Turati VA, et al. (2022). An inst",RETRACTED,0.88,deepseek
40290044,35005781,"Roberts K.E., Adsett I.T., Rickett K., Conroy S.M., Chatfield M.D., Woodward N.E",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,30682070,Prognostic significance of DAPK promoter methylation in lymphoma: A meta-analysi,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,34337015,A Systematic Review and Meta-Analysis of the SuperPATH Approach in Hip Arthropla,RETRACTED,0.99,rw_db
41399105,,"Kant P, Perry SL, Dexter SP, et al. Mucosal biomarkers of colorectal cancer risk",CLEAN,1.00,user_manual
40033805,14996748,"Sredni B, Weil M, Khomenok G, Lebenthal I, Teitz S, Mardor Y, et al. (2004). Amm",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38439170,Effect of two different modalities of hysterectomy on wound infection and wound ,RETRACTED,0.99,rw_db
